userId	chatGPT_title	dataset_name	itemId	rank
1104	[' The Unbearable Lightness of Being']	The Unbearable Lightness of Being	1	1
1104	[' The Picture of Dorian Gray']	The Picture of Dorian Gray	5	2
1104	[' The Great Gatsby']	The Great Gatsby	6	3
1104	[' Brave New World']	Brave New World	7	4
1104	[' The Hobbit']	The Hobbit	19	5
1104	[' The Catcher in the Rye']	The Catcher in the Rye	3	6
1104	[' The Lost Books (novel series)']	The Lost Books (novel series)	2051	7
1104	[' The Maze Runner']	The Maze Runner	14	8
1104	[' The City of Ember']	The City of Ember	16	9
1104	[' The Southern Vampire Mysteries']	The Southern Vampire Mysteries	18	10
1104	[' The Stand']	The Stand	54	11
1104	[' The Lord of the Rings']	The Lord of the Rings	50	12
1104	[' The Silmarillion']	The Silmarillion	25	13
1104	[' The Phantom of the Opera']	The Phantom of the Opera	46	14
1104	[' The House of Mirth']	The House of Mirth	2097	15
1104	[' The Scarlet Letter']	The Scarlet Letter	45	16
1104	[' The Rapture (novel)']	The Rapture (novel)	2095	17
1104	[' The Giver']	The Giver	42	18
1104	[' Strange Case of Dr Jekyll and Mr Hyde']	Strange Case of Dr Jekyll and Mr Hyde	43	19
1104	[' Crime and Punishment']	Crime and Punishment	44	20
1104	[' Shakespeares sonnets']	Shakespeare's sonnets	2091	21
1104	[' Pygmalion (play)']	Pygmalion (play)	48	22
1104	[' Through the Looking-Glass']	Through the Looking-Glass	55	23
1104	[' Harry Potter']	Harry Potter	8	24
1104	[' The Pillowman']	The Pillowman	2053	25
1104	[' Dragon Ball Z']	Dragon Ball Z	2058	26
1104	[' Gantz']	Gantz	2059	27
1104	[' Twilight Eyes']	Twilight Eyes	2060	28
1104	[' Gravitys Rainbow']	Gravity's Rainbow	2065	29
1104	[' Delta of Venus']	Delta of Venus	2066	30
1104	[' Medea (play)']	Medea (play)	2069	31
1104	[' Dexter in the Dark']	Dexter in the Dark	24	32
1104	[' And the Ass Saw the Angel']	And the Ass Saw the Angel	2072	33
1104	[' Incarceron']	Incarceron	2075	34
1104	[' Made in America (book)']	Made in America (book)	2074	35
1104	[' World War Z']	World War Z	29	36
