userId	chatGPT_title	dataset_name	itemId	rank
1104	Michael Jackson	Michael Jackson	157	1
1104	Rihanna	Rihanna	288	2
1104	Alicia Keys	Alicia Keys	301	3
1104	Katy Perry	Katy Perry	300	4
1104	Shakira	Shakira	701	5
1104	Madonna	Madonna	67	6
1104	Enya	Enya	389	7
1104	Amy Winehouse	Amy Winehouse	903	8
1104	Destiny's Child	Destiny's Child	913	9
1104	Norah Jones	Norah Jones	1772	10
1104	Kelly Clarkson	Kelly Clarkson	291	11
1104	Miley Cyrus	Miley Cyrus	461	12
1104	Jennifer Hudson	Jennifer Hudson	1936	13
1104	Joss Stone	Joss Stone	1556	14
1104	Leona Lewis	Leona Lewis	294	15
1104	Nelly Furtado	Nelly Furtado	310	16
1104	Christina Milian	Christina Milian	1596	17
1104	JoJo	JoJo	326	18
1104	Duffy	Duffy	97	19
1104	Ashlee Simpson	Ashlee Simpson	293	20
1104	Sara Bareilles	Sara Bareilles	3081	21
1104	The Veronicas	The Veronicas	680	22
1104	Evanescence	Evanescence	378	23
1104	Jessica Simpson	Jessica Simpson	465	24
1104	Ke$ha	Ke$ha	466	25
1104	Jordin Sparks	Jordin Sparks	290	26
1104	Black Eyed Peas	Black Eyed Peas	306	27
1104	Christina Aguilera	Christina Aguilera	292	28
1104	Mariah Carey	Mariah Carey	257	29
1104	Whitney Houston	Whitney Houston	251	30
1104	Céline Dion	Céline Dion	265	31
1104	Beyoncé	Beyoncé	295	32
1104	Janet Jackson	Janet Jackson	285	33
1104	Britney Spears	Britney Spears	289	34
1104	Lady Gaga	Lady Gaga	89	35
1104	Madonna	Madonna	67	36
1104	Ace of Base	Ace of Base	1081	37
1104	Cher	Cher	340	38
1104	Cyndi Lauper	Cyndi Lauper	889	39
1104	Backstreet Boys	Backstreet Boys	455	40
1104	Missy Elliott	Missy Elliott	6376	41
1104	*NSYNC	*NSYNC	459	42
1104	Marisa Monte	Marisa Monte	261	43
1104	Toni Braxton	Toni Braxton	241	44
1104	Lenny Kravitz	Lenny Kravitz	2783	45
1104	Danity Kane	Danity Kane	309	46
1104	The Pussycat Dolls	The Pussycat Dolls	349	47
1104	Sugababes	Sugababes	296	48
1104	Girls Aloud	Girls Aloud	906	49
1104	Kat DeLuna	Kat DeLuna	308	50
1576	Madonna	Madonna	67	1
1576	Michael Jackson	Michael Jackson	157	2
