userId	chatGPT_title	dataset_name	itemId	rank
88	The Dark Knight Rises (2012)	Dark Knight Rises, The (2012)	91529	1
88	Interstellar (2014)	Interstellar (2014)	109487	2
88	The Prestige (2006)	The Prime Gig (2000)	172233	3
88	The Imitation Game (2014)	The Imitation Game (2014)	116797	4
88	Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)	Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)	4896	5
88	The Bourne Ultimatum (2007)	Bourne Ultimatum, The (2007)	54286	6
88	Saving Private Ryan (1998)	Saving Private Ryan (1998)	2028	7
88	The Revenant (2015)	The Revenant (2015)	139385	8
88	Fight Club (1999)	Fight Club (1999)	2959	9
88	The Matrix (1999)	Matrix, The (1999)	2571	10
88	American History X (1998)	American History X (1998)	2329	11
88	The Shining (1980)	The Shining (1997)	180263	12
88	The Departed (2006)	Departed, The (2006)	48516	13
88	Eternal Sunshine of the Spotless Mind (2004)	Eternal Sunshine of the Spotless Mind (2004)	7361	14
88	Gladiator (2000)	Gladiator (2000)	3578	15
88	Forrest Gump (1994)	Forrest Gump (1994)	356	16
88	The Truman Show (1998)	Truman Show, The (1998)	1682	17
88	The Green Mile (1999)	Green Mile, The (1999)	3147	18
88	Requiem for a Dream (2000)	Requiem for a Dream (2000)	3949	19
88	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	4973	20
88	Inside Out (2015)	Inside Out (2015)	134853	21
88	The Dark Knight (2008)	Dark Knight, The (2008)	58559	22
88	Inception (2010)	Inception (2010)	79132	23
88	The Lord of the Rings: The Fellowship of the Ring (2001)	Lord of the Rings: The Fellowship of the Ring, The (2001)	4993	24
88	The Lord of the Rings: The Return of the King (2003)	Lord of the Rings: The Return of the King, The (2003)	7153	25
88	The Lord of the Rings: The Two Towers (2002)	Lord of the Rings: The Two Towers, The (2002)	5952	26
88	The Shawshank Redemption (1994)	Shawshank Redemption, The (1994)	318	27
88	The Usual Suspects (1995)	Usual Suspects, The (1995)	50	28
88	The Sixth Sense (1999)	Sixth Sense, The (1999)	2762	29
88	The Silence of the Lambs (1991)	The Silence of the Hams (1994)	135937	30
593	Shawshank Redemption, The (1994)	Shawshank Redemption, The (1994)	318	1
593	Godfather, The (1972)	Godfather, The (1972)	858	2
593	Dark Knight, The (2008)	Dark Knight, The (2008)	58559	3
593	Godfather: Part II, The (1974)	Godfather: Part II, The (1974)	1221	4
593	Inception (2010)	Inception (2010)	79132	5
593	Pulp Fiction (1994)	Pulp Fiction (1994)	296	6
593	Forrest Gump (1994)	Forrest Gump (1994)	356	7
593	Matrix, The (1999)	Matrix, The (1999)	2571	8
593	Silence of the Lambs, The (1991)	Silence of the Lambs, The (1991)	593	9
593	Star Wars: Episode IV - A New Hope (1977)	Star Wars: Episode IV - A New Hope (1977)	260	10
593	Star Wars: Episode V - The Empire Strikes Back (1980)	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	11
593	Star Wars: Episode VI - Return of the Jedi (1983)	Star Wars: Episode VI - Return of the Jedi (1983)	1210	12
593	Gladiator (2000)	Gladiator (2000)	3578	13
593	L.A. Confidential (1997)	L.A. Confidential (1997)	1617	14
593	Usual Suspects, The (1995)	Usual Suspects, The (1995)	50	15
593	Fargo (1996)	Fargo (1996)	608	16
593	Braveheart (1995)	Braveheart (1995)	110	17
593	Casino Royale (2006)	Casino Royale (2006)	49272	18
593	Heat (1995)	Heat (1995)	6	19
593	Memento (2000)	Memento (2000)	4226	20
593	Trainspotting (1996)	Trainspotting (1996)	778	21
593	Blade Runner (1982)	Blade Runner (1982)	541	22
